Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,53.3,34.6,2444.8
paced,2,"[90, 100]",0.5,,,3.0,53.4,35.7,1094.5
vcp_0_0,3,,,,,12.0,51.2,39.6,1321.0
vcp_70_0,4,,,,,17.0,51.0,39.3,791.4
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 11]",,,,,,,,
vcp_0_0,12,,,,,,,,
vcp_70_0,13,,,,,,,,
vcp_70_70,14,,,,,,,,
spont,15,"[2, 12]",,,,,,,
paced,16,"[50, 60]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,17,,,,,,,,
rspre_20,18,,,,,,,,
rspre_40,19,,,,,,,,
rspre_60,20,,,,,,,,
rspre_80,21,,,,,,,,
rscomp_0,22,,,,,,,,
rscomp_20,23,,,,,,,,
rscomp_40,24,,,,,,,,
rscomp_60,25,,,,,,,,
rscomp_80,26,,,,,,,,
