Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,23.0,37.0,1142.0
paced,2,"[34, 44]",0.5,,,3.0,23.0,33.0,913.0
vcp_0_0,3,,,,,12.0,21.5,38.4,524.0
vcp_70_0,4,,,,,38.0,20.3,30.6,440.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 11]",,,,,,,,
vcp_0_0,12,,,,,,,,
vcp_70_0,16,,,,,,,,
vcp_70_70,15,,,,,,,,
spont,14,"[30, 35]",,,,,,,
paced,14,"[15, 25]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[17, 37]",,,,,,,,
vcp_0_0,38,,,,,,,,
vcp_70_0,39,,,,,,,,
vcp_70_70,40,,,,,,,,
spont,41,"[1, 11]",,,,,,,
paced,41,"[45, 55]",0.5,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
