Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1.0,"[5, 15]",,,,1.0,73.0,27.0,1458.0
paced,2.0,"[52, 62]",0.5,,,3.0,68.0,28.0,20000.0
vcp_0_0,3.0,,,,,6.0,67.4,22.7,5133.0
vcp_70_0,4.0,,,,,,,,
vcp_70_70,5.0,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,,,,,,,,,
vcp_0_0,6.0,,,,,,,,
vcp_70_0,7.0,,,,,,,,
vcp_70_70,8.0,,,,,,,,
spont,9.0,"[10, 20]",,,,,,,
paced,10.0,"[60, 70]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
