Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[2, 12]",,,,1.0,35.7,26.0,904.0
paced,2,"[56, 66]",1.5,,,3.0,35.0,33.5,719.0
vcp_0_0,3,,,,,12.0,32.0,18.0,290.0
vcp_70_0,4,,,,,27.0,33.6,18.5,250.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 11]",,,,,,,,
vcp_0_0,16,,,,,,,,
vcp_70_0,18,,,,,,,,
vcp_70_70,17,,,,,,,,
spont,15,"[10, 20]",,,,,,,
paced,15,"[88, 98]",3.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[16, 26]",,,,,,,,
vcp_0_0,27,,,,,,,,
vcp_70_0,29,,,,,,,,
vcp_70_70,28,,,,,,,,
spont,30,"[1, 11]",,,,,,,
paced,30,"[60, 70]",3.0,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
