Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,3,"[10, 20]",,,,1.0,48.5,59.5,640.5
paced,3,"[60, 70]",0.5,,,4.0,49.0,47.0,534.0
vcp_0_0,4,,,,,19.0,49.3,39.5,365.3
vcp_70_0,5,,,,,32.0,48.0,52.0,399.0
vcp_70_70,6,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 18]",,,,,,,,
vcp_0_0,19,,,,,,,,
vcp_70_0,20,,,,,,,,
vcp_70_70,22,,,,,,,,
spont,23,"[10, 20]",,,,,,,
paced,23,"[60, 70]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,32,,,,,,,,
vcp_70_0,33,,,,,,,,
vcp_70_70,34,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
