Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[60, 70]",,,,1.0,43.5,66.1,303.8
paced,1,"[20, 30]",1.0,,,5.0,30.8,15.0,496.0
vcp_0_0,5,,,,,14.0,30.0,11.0,400.0
vcp_70_0,6,,,,,,,,
vcp_70_70,7,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[8, 13]",,,,,,,,
vcp_0_0,14,,,,,,,,
vcp_70_0,15,,,,,,,,
vcp_70_70,16,,,,,,,,
spont,17,"[5, 15]",,,,,,,
paced,17,"[40, 50]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
