Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[10, 20]",,,,1.0,33.9,54.5,2742.0
paced,2,"[85, 95]",1.0,,,3.0,30.4,55.0,2306.0
vcp_0_0,3,,,,,14.0,28.0,47.4,1153.0
vcp_70_0,4,,,,,21.0,29.0,55.0,2373.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 13]",,,,,,,,
vcp_0_0,14,,,,,,,,
vcp_70_0,15,,,,,,,,
vcp_70_70,16,,,,,,,,
spont,17,"[10, 20]",,,,,,,
paced,17,"[100, 110]",0.8,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[17, 20]",,,,,,,,
vcp_0_0,23,,,,,,,,
vcp_70_0,22,,,,,,,,
vcp_70_70,21,,,,,,,,
spont,24,"[10, 20]",,,,,,,
paced,24,"[88, 98]",1.0,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
