Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1.0,"[1, 11]",,,,1.0,30.0,37.0,645.0
paced,2.0,"[40, 50]",1.0,,,3.0,29.5,37.0,549.0
vcp_0_0,3.0,,,,,6.0,29.5,32.0,452.0
vcp_70_0,4.0,,,,,9.0,29.0,24.7,494.7
vcp_70_70,5.0,,,,,,,,
proto_B,6.0,,,,,,,,
proto_O,7.0,,,,,,,,
vcp_opt,8.0,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,,,,,,,,,
vcp_0_0,9.0,,,,,,,,
vcp_70_0,10.0,,,,,,,,
vcp_70_70,11.0,,,,,,,,
spont,12.0,"[5, 15]",,,,,,,
paced,12.0,"[60, 70]",1.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
