Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,2,"[12, 22]",,,,1.0,72.2,65.0,1222.5
paced,2,"[62, 72]",1.0,,,3.0,60.0,31.7,705.0
vcp_0_0,3,,,,,12.0,58.5,25.1,590.4
vcp_70_0,4,,,,,16.0,51.5,25.0,1312.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 11]",,,,,,,,
vcp_0_0,12,,,,,,,,
vcp_70_0,13,,,,,,,,
vcp_70_70,14,,,,,,,,
spont,15,"[10, 20]",,,,,,,
paced,15,"[56, 66]",0.75,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,26,,,,,,,,
rspre_20,27,,,,,,,,
rspre_40,28,,,,,,,,
rspre_60,29,,,,,,,,
rspre_80,30,,,,,,,,
rscomp_0,31,,,,,,,,
rscomp_20,32,,,,,,,,
rscomp_40,33,,,,,,,,
rscomp_60,34,,,,,,,,
rscomp_80,35,,,,,,,,
