Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,19.0,31.0,464.0
paced,2,"[55, 65]",3.0,,,3.0,18.0,32.0,422.0
vcp_0_0,,,,,,4.0,18.0,31.0,407.0
vcp_70_0,,,,,,5.0,18.5,28.0,412.0
vcp_70_70,3,,,,,6.0,18.5,29.0,390.0
proto_B,4,,,,,16.0,17.0,24.0,354.0
proto_O,5,,,,,30.0,16.0,24.0,395.0
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 15]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,16,,,,,,,,
spont,19,"[2, 12]",,,,,,,
paced,20,"[50, 60]",3.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[21, 29]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,30,,,,,,,,
spont,32,"[.5, 9]",,,,,,,
paced,32,"[36, 46]",3.0,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
