Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1.0,"[2, 12]",,,,1.0,26.5,38.0,1448.0
paced,2.0,"[40, 50]",0.5,,,3.0,26.0,34.0,1227.0
vcp_0_0,3.0,,,,,6.0,26.0,35.0,1000.0
vcp_70_0,4.0,,,,,,,,
vcp_70_70,5.0,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,,,,,,,,,
vcp_0_0,6.0,,,,,,,,
vcp_70_0,7.0,,,,,,,,
vcp_70_70,8.0,,,,,,,,
spont,9.0,"[4, 14]",,,,,,,
paced,10.0,"[50, 60]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,12.0,,,,,,,,
rspre_20,13.0,,,,,,,,
rspre_40,14.0,,,,,,,,
rspre_60,15.0,,,,,,,,
rspre_80,16.0,,,,,,,,
rscomp_0,17.0,,,,,,,,
rscomp_20,18.0,,,,,,,,
rscomp_40,19.0,,,,,,,,
rscomp_60,20.0,,,,,,,,
rscomp_80,21.0,,,,,,,,
