Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,2,"[26, 36]",,,,1.0,48.0,27.8,182.0
paced,1,"[15, 25]",1.0,,,3.0,45.3,22.4,827.0
vcp_0_0,4,,,,,14.0,40.5,18.6,465.0
vcp_70_0,5,,,,,24.0,39.5,27.0,584.0
vcp_70_70,6,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 13]",,,,,,,,
vcp_0_0,14,,,,,,,,
vcp_70_0,15,,,,,,,,
vcp_70_70,16,,,,,,,,
spont,18,"[4, 14]",,,,,,,
paced,17,"[70, 80]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,25,,,,,,,,
vcp_70_0,26,,,,,,,,
vcp_70_70,27,,,,,,,,
spont,28,"[0, 10]",,,,,,,
paced,28,"[38, 48]",1.0,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
