Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,25.0,49.8,773.0
paced,2,"[40, 50]",0.75,,,3.0,25.0,45.0,619.0
vcp_0_0,,,,,,4.0,25.0,47.0,661.0
vcp_70_0,,,,,,5.0,25.0,50.0,676.0
vcp_70_70,3,,,,,6.0,25.0,51.0,620.0
proto_B,4,,,,,14.0,24.0,60.0,620.0
proto_O,5,,,,,21.0,24.0,50.0,526.0
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 13]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,14,,,,,,,,
spont,15,"[10, 20]",,,,,,,
paced,16,"[33, 44]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[17, 20]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,21,,,,,,,,
spont,22,"[2, 12]",,,,,,,
paced,22,"[160, 170]",1.5,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
