Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[0.2, 10.2]",,,,1.0,42.5,31.1,368.0
paced,2,"[110, 120]",0.5,,,3.0,41.9,33.4,362.0
vcp_0_0,3,,,,,12.0,41.6,27.0,636.0
vcp_70_0,4,,,,,,,,
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 11]",,,,,,,,
vcp_0_0,12,,,,,,,,
vcp_70_0,13,,,,,,,,
vcp_70_70,14,,,,,,,,
spont,15,"[15, 25]",,,,,,,
paced,15,"[106, 116]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,16,,,,,,,,
rspre_20,17,,,,,,,,
rspre_40,18,,,,,,,,
rspre_60,19,,,,,,,,
rspre_80,20,,,,,,,,
rscomp_0,21,,,,,,,,
rscomp_20,22,,,,,,,,
rscomp_40,23,,,,,,,,
rscomp_60,24,,,,,,,,
rscomp_80,25,,,,,,,,
