Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,54.0,32.5,454.0
paced,2,"[40, 50]",0.75,,,3.0,54.0,27.0,329.0
vcp_0_0,3,,,,,6.0,54.0,27.0,351.0
vcp_70_0,4,,,,,18.0,52.7,27.6,297.0
vcp_70_70,5,,,,,,,,
proto_B,6,,,,,,,,
proto_O,7,,,,,,,,
vcp_opt,8,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[9, 17]",,,,,,,,
vcp_0_0,20,,,,,,,,
vcp_70_0,19,,,,,,,,
vcp_70_70,18,,,,,,,,
spont,21,"[2, 12]",,,,,,,
paced,21,"[70, 80]",1.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
