Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,34.0,32.0,1978.0
paced,2,"[50, 60]",0.75,,,3.0,34.0,32.0,2042.0
vcp_0_0,3,,,,,11.0,30.6,23.0,1031.0
vcp_70_0,4,,,,,30.0,31.0,29.0,1117.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 10]",,,,,,,,
vcp_0_0,11,,,,,,,,
vcp_70_0,12,,,,,,,,
vcp_70_70,13,,,,,,,,
spont,14,"[2, 12]",,,,,,,
paced,15,"[35, 45]",0.75,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[16, 29]",,,,,,,,
vcp_0_0,36,,,,,,,,
vcp_70_0,37,,,,,,,,
vcp_70_70,38,,,,,,,,
spont,41,"[0.5, 9.5]",,,,,,,
paced,41,"[30, 40]",0.75,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
