Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[2, 12]",,,,1.0,49.0,27.6,497.0
paced,2,"[30, 40]",0.75,,,3.0,49.0,19.0,535.0
vcp_0_0,,,,,,4.0,48.0,19.7,513.0
vcp_70_0,,,,,,5.0,49.0,19.2,490.0
vcp_70_70,3,,,,,6.0,49.0,18.0,448.0
proto_B,4,,,,,20.0,46.0,13.4,292.0
proto_O,5,,,,,33.0,48.0,10.6,272.0
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 19]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,20,,,,,,,,
spont,21,"[.5, 10.5]",,,,,,,
paced,22,"[18, 28]",1.25,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[23, 32]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,33,,,,,,,,
spont,34,"[1, 11]",,,,,,,
paced,34,"[41, 51]",1.75,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
