Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,3,"[5, 15]",,,,1.0,44.6,15.4,5701.0
paced,4,"[50, 60]",1.5,,,5.0,46.2,14.1,826.0
vcp_0_0,5,,,,,17.0,39.3,9.5,291.8
vcp_70_0,6,,,,,,,,
vcp_70_70,7,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[9, 16]",,,,,,,,
vcp_0_0,17,,,,,,,,
vcp_70_0,18,,,,,,,,
vcp_70_70,19,,,,,,,,
spont,20,"[5, 15]",,,,,,,
paced,20,"[50, 60]",1.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
