Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1.0,"[5, 15]",,,,1.0,75.8,28.9,2377.0
paced,2.0,"[55, 65]",0.5,,,7.0,74.6,25.5,2981.0
vcp_0_0,4.0,,,,,12.0,73.6,22.9,1111.0
vcp_70_0,5.0,,,,,,,,
vcp_70_70,6.0,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,,,,,,,,,
vcp_0_0,7.0,,,,,,,,
vcp_70_0,8.0,,,,,,,,
vcp_70_70,9.0,,,,,,,,
spont,10.0,"[5, 15]",,,,,,,
paced,11.0,"[40, 50]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,12.0,,,,,,,,
rspre_20,13.0,,,,,,,,
rspre_40,14.0,,,,,,,,
rspre_60,15.0,,,,,,,,
rspre_80,16.0,,,,,,,,
rscomp_0,17.0,,,,,,,,
rscomp_20,18.0,,,,,,,,
rscomp_40,19.0,,,,,,,,
rscomp_60,20.0,,,,,,,,
rscomp_80,21.0,,,,,,,,
