Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,28.0,28.0,585.0
paced,2,"[40, 50]",1.5,,,3.0,28.0,22.0,492.0
vcp_0_0,,,,,,4.0,28.0,23.0,456.0
vcp_70_0,,,,,,5.0,29.0,22.0,478.0
vcp_70_70,3,,,,,6.0,28.0,21.0,451.0
proto_B,4,,,,,16.0,26.0,13.0,403.0
proto_O,5,,,,,31.0,27.0,13.0,446.0
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 15]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,16,,,,,,,,
spont,17,"[2, 12]",,,,,,,
paced,18,"[40, 50]",2.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[19, 29]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,31,,,,,,,,
spont,32,"[1, 11]",,,,,,,
paced,33,"[50, 60]",2.0,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
