Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,2,"[20, 30]",,,,1.0,92.0,23.0,413.0
paced,3,"[50, 60]",0.75,,,4.0,93.0,21.0,400.0
vcp_0_0,,,,,,5.0,92.0,20.0,453.0
vcp_70_0,,,,,,14.0,90.0,19.0,328.0
vcp_70_70,4,,,,,23.0,89.0,18.0,331.0
proto_B,5,,,,,,,,
proto_O,6,,,,,,,,
vcp_opt,7,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[8, 13]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,14,,,,,,,,
spont,16,"[10, 20]",,,,,,,
paced,16,"[60, 70]",0.75,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[17, 22]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,23,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
