Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1.0,"[10, 20]",,,,1.0,44.5,37.0,871.0
paced,2.0,"[50, 60]",1.0,,,4.0,45.0,28.0,699.0
vcp_0_0,,,,,,5.0,44.0,29.6,636.0
vcp_70_0,,,,,,6.0,44.0,30.0,846.0
vcp_70_70,4.0,,,,,7.0,44.0,30.0,911.0
proto_B,5.0,,,,,12.0,42.0,52.0,690.0
proto_O,6.0,,,,,,,,
vcp_opt,7.0,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,12.0,,,,,,,,
spont,13.0,"[10, 20]",,,,,,,
paced,14.0,"[30, 40]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
