Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,62.0,28.4,738.0
paced,2,"[60, 70]",0.75,,,3.0,61.0,28.0,601.0
vcp_0_0,3,,,,,10.0,60.0,21.0,314.0
vcp_70_0,4,,,,,26.0,59.0,29.0,307.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 9]",,,,,,,,
vcp_0_0,10,,,,,,,,
vcp_70_0,11,,,,,,,,
vcp_70_70,12,,,,,,,,
spont,13,"[1, 11]",,,,,,,
paced,13,"[58, 68]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[14, 22]",,,,,,,,
vcp_0_0,26,,,,,,,,
vcp_70_0,27,,,,,,,,
vcp_70_70,28,,,,,,,,
spont,29,"[54, 64]",,,,,,,
paced,29,"[30, 40]",0.75,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
