Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1.0,"[10, 20]",,,,1.0,99.0,25.0,1500.0
paced,2.0,"[54, 64]",0.5,,,3.0,100.0,17.0,1043.0
vcp_0_0,3.0,,,,,6.0,98.0,36.0,577.0
vcp_70_0,4.0,,,,,9.0,100.0,27.0,513.0
vcp_70_70,5.0,,,,,,,,
proto_B,6.0,,,,,,,,
proto_O,7.0,,,,,,,,
vcp_opt,8.0,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,,,,,,,,,
vcp_0_0,9.0,,,,,,,,
vcp_70_0,10.0,,,,,,,,
vcp_70_70,11.0,,,,,,,,
spont,12.0,"[5, 15]",,,,,,,
paced,13.0,"[15, 25]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
