Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[2, 12]",,,,1.0,46.5,29.9,337.7
paced,1,"[60, 70]",2.0,,,2.0,46.0,28.5,431.0
vcp_0_0,,,,,,4.0,45.0,28.0,387.0
vcp_70_0,,,,,,5.0,45.0,28.0,440.0
vcp_70_70,3,,,,,21.0,44.0,21.0,413.0
proto_B,4,,,,,,,,
proto_O,5,,,,,,,,
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 20]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,21,,,,,,,,
spont,22,"[5, 15]",,,,,,,
paced,22,"[80, 90]",2.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
