Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[10, 20]",,,,1.0,44.0,32.0,1000.0
paced,2,"[42, 52]",0.75,,,3.0,43.0,30.0,1200.0
vcp_0_0,,,,,,5.0,43.0,29.0,740.0
vcp_70_0,,,,,,6.0,43.0,29.0,979.0
vcp_70_70,4,,,,,7.0,43.0,32.0,796.0
proto_B,5,,,,,16.0,42.0,30.0,532.0
proto_O,6,,,,,27.0,42.3,31.0,675.0
vcp_opt,7,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[8, 15]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,17,,,,,,,,
spont,18,"[2, 12]",,,,,,,
paced,19,"[42, 52]",0.75,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[20, 26]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,27,,,,,,,,
spont,29,"[5, 15]",,,,,,,
paced,29,"[50, 60]",0.75,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
