Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,2,"[9, 19]",,,,1.0,58.0,51.0,5005.0
paced,2,"[46, 56]",0.5,,,3.0,55.0,44.0,9000.0
vcp_0_0,3,,,,,11.0,56.0,48.0,1677.0
vcp_70_0,4,,,,,25.0,57.0,32.0,2581.0
vcp_70_70,5,,,,,,,,
proto_B,,,,,,,,,
proto_O,,,,,,,,,
vcp_opt,,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[6, 10]",,,,,,,,
vcp_0_0,11,,,,,,,,
vcp_70_0,12,,,,,,,,
vcp_70_70,13,,,,,,,,
spont,14,"[30, 40]",,,,,,,
paced,14,"[90, 100]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[15, 24]",,,,,,,,
vcp_0_0,25,,,,,,,,
vcp_70_0,26,,,,,,,,
vcp_70_70,27,,,,,,,,
spont,28,"[22, 32]",,,,,,,
paced,28,"[95, 105]",0.5,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
