Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[10, 20]",,,,1.0,70.0,28.0,2555.0
paced,2,"[40, 50]",0.5,,,3.0,65.0,24.0,4023.0
vcp_0_0,,,,,,4.0,65.0,25.0,2893.0
vcp_70_0,,,,,,5.0,65.0,24.0,2531.0
vcp_70_70,3,,,,,6.0,65.0,23.0,1637.0
proto_B,4,,,,,17.0,60.0,20.0,422.0
proto_O,5,,,,,28.0,65.0,21.0,920.0
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[7, 11]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,17,,,,,,,,
spont,14,"[2, 12]",,,,,,,
paced,15,"[30, 40]",0.5,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[18, 27]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,28,,,,,,,,
spont,29,"[2, 12]",,,,,,,
paced,30,"[30, 40]",0.5,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
