Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[5, 15]",,,,1.0,65.0,33.0,567.0
paced,2,"[30, 40]",0.5,,,3.0,50.0,47.0,1338.0
vcp_0_0,,,,,,7.0,50.0,37.0,1963.0
vcp_70_0,,,,,,5.0,50.0,42.0,1538.0
vcp_70_70,3,,,,,6.0,50.0,39.0,2240.0
proto_B,7,,,,,22.0,47.0,18.0,546.0
proto_O,5,,,,,40.0,47.0,17.0,521.0
vcp_opt,6,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[8, 21]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,22,,,,,,,,
spont,23,"[2, 12]",,,,,,,
paced,24,"[30, 40]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[26, 39]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,40,,,,,,,,
spont,42,"[1, 11]",,,,,,,
paced,42,"[34, 44]",1.0,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
