Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,1,"[2, 12]",,,,1.0,49.0,25.0,843.0
paced,2,"[30, 40]",1.0,,,3.0,47.0,17.0,535.0
vcp_0_0,,,,,,5.0,46.0,13.0,494.0
vcp_70_0,,,,,,6.0,46.0,11.0,501.0
vcp_70_70,4,,,,,14.0,44.0,8.7,249.0
proto_B,5,,,,,,,,
proto_O,6,,,,,,,,
vcp_opt,8,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[9, 13]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,14,,,,,,,,
spont,16,"[10, 20]",,,,,,,
paced,16,"[70, 80]",2.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,,,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,,,,,,,,,
spont,,,,,,,,,
paced,,,,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
