Pre-drug,Trial,T_Range,Ishi,Unnamed: 4,Unnamed: 5,Trials,Cm,Ra,Rm
spont,2,"[20, 30]",,,,1.0,17.0,30.0,1050.0
paced,1,"[15, 25]",1.0,,,3.0,17.0,30.0,1050.0
vcp_0_0,,,,,,5.0,17.0,29.0,1032.0
vcp_70_0,,,,,,6.0,17.0,28.0,1080.0
vcp_70_70,4,,,,,7.0,17.0,27.0,923.0
proto_B,5,,,,,18.0,16.0,17.0,526.0
proto_O,6,,,,,35.0,16.6,15.5,690.0
vcp_opt,7,,,,,,,,
,,,,,,,,,
Post-drug,,,,,,,,,
check_drug,"[10, 17]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,18,,,,,,,,
spont,20,"[2, 12]",,,,,,,
paced,21,"[40, 50]",1.0,,,,,,
,,,,,,,,,
Washoff,,,,,,,,,
check_washoff,"[22, 34]",,,,,,,,
vcp_0_0,,,,,,,,,
vcp_70_0,,,,,,,,,
vcp_70_70,35,,,,,,,,
spont,36,"[10, 20]",,,,,,,
paced,36,"[100, 110]",1.5,,,,,,
,,,,,,,,,
Compensation,,,,,,,,,
rspre_0,,,,,,,,,
rspre_20,,,,,,,,,
rspre_40,,,,,,,,,
rspre_60,,,,,,,,,
rspre_80,,,,,,,,,
rscomp_0,,,,,,,,,
rscomp_20,,,,,,,,,
rscomp_40,,,,,,,,,
rscomp_60,,,,,,,,,
rscomp_80,,,,,,,,,
